afile	alang	akorp	astatus	sentlength	ppron	possdet	indef	cconj	whconj	relativ	pied	correl	copula	attrib	pasttense	lexdens	lexTTR	mquantif	mpred	finites	infs	pverbals	deverbals	bypassives	longpassives	sconj	addit	advers	caus	tempseq	epist	but	comp	sup	neg	numcls	simple	demdets	nnargs	mhd	mdd	acl	aux	aux:pass	ccomp	nsubj:pass	parataxis	xcomp
en_1	en	rltc	pro	21.444444444444443	0.025906735751295335	0.0	0.0010362694300518134	0.9333333333333333	0.06666666666666667	0.15555555555555556	0.0	0.0	0.5111111111111111	1.0888888888888888	0.8888888888888888	0.42487046632124353	0.9903381642512077	0.010362694300518135	0.13333333333333333	0.8736842105263158	0.09473684210526316	0.10526315789473684	0.10526315789473684	0.044444444444444446	0.2	0.35555555555555557	0.08888888888888889	0.08888888888888889	0.022222222222222223	0.044444444444444446	0.044444444444444446	0.1111111111111111	0.045112781954887216	0.022556390977443608	0.13333333333333333	1.1304347826086956	0.391304347826087	0.010362694300518135	0.6521739130434783	3.5037830318815484	1.4558532293145623	0.06847826086956522	0.21231884057971015	0.07681159420289854	0.13804347826086955	0.06594202898550725	0.060144927536231886	0.09565217391304348
en_10	en	rltc	pro	20.228571428571428	0.052259887005649715	0.0035310734463276836	0.00211864406779661	0.7571428571428571	0.02857142857142857	0.32857142857142857	0.02857142857142857	0.014285714285714285	0.5571428571428572	0.8428571428571429	0.8	0.4173728813559322	0.986644407345576	0.00847457627118644	0.2714285714285714	0.8232044198895028	0.12154696132596685	0.03314917127071823	0.10497237569060773	0.0	0.05714285714285714	0.4714285714285714	0.11428571428571428	0.07142857142857142	0.0	0.11428571428571428	0.07142857142857142	0.21428571428571427	0.056179775280898875	0.02247191011235955	0.15714285714285714	1.4714285714285715	0.2714285714285714	0.01059322033898305	0.5204081632653061	3.2450995313777358	1.396670351932259	0.15799319727891156	0.25503401360544214	0.024421768707482992	0.18739795918367347	0.007755102040816328	0.0755952380952381	0.09180272108843536
en_101	en	rltc	pro	22.029411764705884	0.04539385847797063	0.006675567423230975	0.0053404539385847796	0.4411764705882353	0.08823529411764706	0.2647058823529412	0.0	0.0	0.5882352941176471	1.1764705882352942	0.5588235294117647	0.4539385847797063	0.9912536443148688	0.00801068090787717	0.2647058823529412	0.9375	0.15	0.0	0.1125	0.0	0.029411764705882353	0.7352941176470589	0.08823529411764706	0.11764705882352941	0.029411764705882353	0.23529411764705882	0.08823529411764706	0.11764705882352941	0.037383177570093455	0.06542056074766354	0.35294117647058826	1.4	0.2571428571428571	0.012016021361815754	0.5740740740740741	3.3792250358169595	1.537882317571809	0.1880952380952381	0.39095238095238094	0.014285714285714285	0.14238095238095239	0.0	0.0738095238095238	0.07619047619047618
en_102	en	rltc	pro	22.2972972972973	0.055757575757575756	0.0048484848484848485	0.0048484848484848485	0.6756756756756757	0.13513513513513514	0.21621621621621623	0.05405405405405406	0.0	0.6486486486486487	1.027027027027027	0.972972972972973	0.41575757575757577	0.9716713881019831	0.007272727272727273	0.40540540540540543	0.8279569892473119	0.17204301075268819	0.06451612903225806	0.03225806451612903	0.0	0.10810810810810811	0.5945945945945946	0.05405405405405406	0.02702702702702703	0.02702702702702703	0.08108108108108109	0.1891891891891892	0.13513513513513514	0.0423728813559322	0.01694915254237288	0.1891891891891892	1.7297297297297298	0.16216216216216217	0.009696969696969697	0.5	3.4628198202660445	1.5758843539691239	0.14954954954954955	0.3297297297297297	0.060810810810810814	0.118018018018018	0.02027027027027027	0.013513513513513514	0.19999999999999998
en_103	en	rltc	pro	19.224489795918366	0.07218683651804671	0.0031847133757961785	0.009554140127388535	0.6530612244897959	0.02040816326530612	0.2653061224489796	0.02040816326530612	0.0	0.5714285714285714	0.8775510204081632	0.30612244897959184	0.39384288747346075	0.9712041884816754	0.0074309978768577496	0.6122448979591837	0.8688524590163934	0.22950819672131148	0.00819672131147541	0.08196721311475409	0.0	0.04081632653061224	0.6530612244897959	0.08163265306122448	0.02040816326530612	0.10204081632653061	0.08163265306122448	0.08163265306122448	0.10204081632653061	0.0	0.07272727272727272	0.2653061224489796	1.5510204081632653	0.3673469387755102	0.01167728237791932	0.4533333333333333	3.1148825200996435	1.4589729257597268	0.06938775510204082	0.40068027210884355	0.007482993197278912	0.10935374149659863	0.007482993197278912	0.018537414965986394	0.16258503401360544
en_104	en	rltc	pro	27.766666666666666	0.04561824729891957	0.006002400960384154	0.0024009603841536613	0.8	0.16666666666666666	0.4	0.0	0.0	0.3333333333333333	1.6333333333333333	1.3333333333333333	0.43337334933973587	0.9626666666666667	0.009603841536614645	0.5	0.7352941176470589	0.0784313725490196	0.06862745098039216	0.12745098039215685	0.03333333333333333	0.06666666666666667	0.6333333333333333	0.16666666666666666	0.1	0.06666666666666667	0.03333333333333333	0.06666666666666667	0.06666666666666667	0.04081632653061224	0.01020408163265306	0.26666666666666666	1.7741935483870968	0.25806451612903225	0.013205282112845138	0.5470085470085471	3.7054561813728895	1.6015441365431513	0.10591397849462365	0.3010752688172043	0.019354838709677424	0.10645161290322581	0.0	0.1053763440860215	0.10376344086021506
en_108	en	rltc	pro	19.86046511627907	0.06791569086651054	0.00234192037470726	0.00702576112412178	0.6744186046511628	0.046511627906976744	0.13953488372093023	0.0	0.0	0.6976744186046512	0.7906976744186046	0.5581395348837209	0.382903981264637	0.9879154078549849	0.00819672131147541	0.3488372093023256	0.8666666666666667	0.1523809523809524	0.02857142857142857	0.0380952380952381	0.023255813953488372	0.06976744186046512	0.6046511627906976	0.0	0.046511627906976744	0.0	0.023255813953488372	0.023255813953488372	0.09302325581395349	0.05747126436781609	0.022988505747126436	0.37209302325581395	1.288888888888889	0.3333333333333333	0.00234192037470726	0.47540983606557374	3.2059343854132405	1.530276832372599	0.13333333333333333	0.3611111111111111	0.04074074074074074	0.07925925925925925	0.03333333333333333	0.028518518518518516	0.14592592592592593
en_109	en	rltc	pro	20.512820512820515	0.05125	0.00375	0.00625	0.717948717948718	0.02564102564102564	0.10256410256410256	0.0	0.0	0.20512820512820512	0.8974358974358975	1.0	0.39375	0.9936908517350158	0.00125	0.1794871794871795	0.7422680412371134	0.1134020618556701	0.020618556701030927	0.07216494845360824	0.0	0.07692307692307693	0.358974358974359	0.02564102564102564	0.02564102564102564	0.02564102564102564	0.10256410256410256	0.05128205128205128	0.07692307692307693	0.012987012987012988	0.0	0.28205128205128205	1.1282051282051282	0.3333333333333333	0.005	0.6016260162601627	3.185194935213257	1.412874875610713	0.06623931623931624	0.3773504273504273	0.02564102564102564	0.05128205128205128	0.03205128205128205	0.08846153846153847	0.1282051282051282
en_11	en	rltc	pro	22.457831325301203	0.019313304721030045	0.004291845493562232	0.001609442060085837	0.8928571428571429	0.047619047619047616	0.16666666666666666	0.011904761904761904	0.0	0.39285714285714285	1.7380952380952381	1.380952380952381	0.45278969957081544	0.9779837775202781	0.011266094420600859	0.16666666666666666	0.6586538461538461	0.17307692307692307	0.052884615384615384	0.1778846153846154	0.0	0.08333333333333333	0.5119047619047619	0.023809523809523808	0.10714285714285714	0.0	0.09523809523809523	0.0	0.07142857142857142	0.06513409961685823	0.0	0.13095238095238096	1.5476190476190477	0.30952380952380953	0.009656652360515022	0.7929515418502202	3.243436203897489	1.3903533142220195	0.2341269841269841	0.2009920634920635	0.0367063492063492	0.03492063492063492	0.03075396825396825	0.030952380952380953	0.16964285714285715
en_110	en	rltc	pro	25.0	0.0496969696969697	0.0024242424242424242	0.0048484848484848485	0.8787878787878788	0.18181818181818182	0.36363636363636365	0.0	0.0	0.5454545454545454	1.393939393939394	0.45454545454545453	0.4351515151515152	0.9702702702702702	0.0048484848484848485	0.3939393939393939	0.7850467289719626	0.14018691588785046	0.028037383177570093	0.056074766355140186	0.030303030303030304	0.09090909090909091	0.8787878787878788	0.030303030303030304	0.12121212121212122	0.0	0.09090909090909091	0.030303030303030304	0.06060606060606061	0.018691588785046728	0.018691588785046728	0.30303030303030304	2.242424242424242	0.18181818181818182	0.01090909090909091	0.578125	3.6010875102274884	1.542726807055384	0.15407647907647906	0.3891053391053391	0.03463203463203463	0.0743145743145743	0.00937950937950938	0.03409090909090909	0.09227994227994228
